,REFCODE,Habit,Solvent,SMILES
5680,DACZAL,plate,methanol,COc1ccc(cc1)C=C1OC(=O)C(=C1c1cc(Br)c(O)c(Br)c1)C(O)c1cc(Br)c(OC)c(Br)c1
5684,DADDIY,plate,ethanol,O=C1NC2=Nc3ccccc3N2C1=Cc1ccccc1
5688,DADHIA,block,acetone,BrC1C2CC(C(Br)c3nc4ccccc4cc23)c2cc3ccccc3nc12
5689,DADHOG,block,tetrahydrofuran,C1C2Cc3nc4ccccc4cc3C1Cc1nc3ccccc3cc21
5692,DADPDS03,block,ethanol,Nc1ccccc1SSc1ccccc1N
5693,DADQAA,plate,ethanol,COC(CC1C(=CCC2C1(C)CCC1C(C)(C)C(O)C(O)CC21C)C)C(NC(=O)c1ccc(Br)cc1)C(=O)OC
5694,DADRIK01,plate,benzene,Brc1ccc(cc1)C(=[N+]=[N-])c1ccc(Br)cc1
5695,DADSAD02,block,acetone,CC(C)(C)c1cc(Br)c(c(Br)c1)C(=[N+]=[N-])c1c(Br)cc(cc1Br)C(C)(C)C
5696,DADSEH01,block,acetone,Cc1cc(cc(C)c1C(=[N+]=[N-])c1c(Br)cc(Br)cc1Br)C(C)(C)C
5697,DADSOR,prism,hexane,CN(C)c1ccc(cc1)C(=C=C=C1C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C)c1ccc(cc1)N(C)C
5698,DADSOT,block,ethyl acetate,O=C1Nc2ccccc2C21C(=C(Sc1ccccc1)c1ccccc21)Sc1ccccc1
5701,DADWOU,prism,pentane,COC(=O)C(C(C)C)N1CN(CN(C1)C(C(C)C)C(=O)OC)C(C(C)C)C(=O)OC
5707,DAFKAX,prism,ethanol,CC(C)(Cc1ccccc1)C1=C(O)C(=O)C(O)(O1)C(C)(C)Cc1ccccc1
5708,DAFLII,block,ethyl acetate,CCOC(=O)C(C)(CCC1=C(C)C(=O)c2ccccc2C1=O)C(=O)OCC
5711,DAFRUA,needle,methanol,CN(C)c1ccc(cc1)C=Nc1ccc(cc1)C(C)=O
5712,DAFSIN,plate,acetone,CC(C)c1cc(C(C)C)c(c(c1)C(C)C)[Si](F)(F)C(C)(C)C
5715,DAFVAI,plate,hexane,CC(C)(C)N(O)C1=Nc2ccccc2S1
5716,DAFWAL,plate,hexane,OC(CCCOc1ccccc1)CCc1ccccc1
5719,DAGRUZ,needle,diethyl ether,CC1(C)C2(C)CCC1(OC2=O)C(=O)OC1CC2CC1C1C=CCC21
5723,DAGWIU,plate,ethanol,COc1cc(cc(OC)c1OC)C1=CC(=O)c2ccc3OC=C(C)c3c2O1
5730,DAHGUP,block,methanol,COc1ccc(NC2C(=O)OCC2(C)c2ccccc2)cc1
5734,DAHPIL01,block,diethyl ether,c1scc2c1c1cscc1c1cscc1c1cscc21
5744,DAJPOU,block,hexane,Oc1ccc(Br)c2CC3CCCC4Cc5c(Br)ccc(O)c5C34c12
5751,DAKDUP01,block,acetone,SC1234[BH]567[BH]89%10[BH]%11%12%13[BH]%1458[BH]58%11[BH]%11%15%12[BH]%129%13[BH]16%10[BH]2%11%12C35%15(c1ccccn1)[BH]47%148
5755,DAKQEL,block,methanol,FC(F)(F)[Si]123OCCN1(CCO2)CCO3
5760,DAKXAP,needle,diethyl ether,CC1=NN(C(=C1)C)c1ccccc1N=[N+]=[N-]
5764,DAKXUI03,plate,toluene,CC(C)N=C1C=C2N(c3ccc(Cl)cc3)c3ccccc3N=C2C=C1Nc1ccc(Cl)cc1
5766,DAKYAQ,prism,diethyl ether,CCC1C(COC1=O)C1(SCCCS1)C1=CN=C(Sc2ccccc2)N1C
5771,DALGON06,plate,ethanol,Oc1ccc(cc1)C=Cc1cc(O)cc(O)c1
5777,DALTUG,plate,toluene,ON=C1c2c3ccccc3ccc2c2ccc3ccccc3c12
5779,DALZEW,prism,toluene,O=C(NP(=S)(c1ccccc1)c1ccccc1)c1ccccn1
5781,DAMCOU01,block,hexane,CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C
5790,DAMVET,block,hexane,CC1=C(C=CS1)C1=C(C2=C(C)SC=C2)C(F)(F)C(F)(F)C1(F)F
5793,DAMYAS,prism,acetone,CCOC(=O)C(NC(C)=O)C1=CCC=CC1
5795,DAMZIB,prism,methanol,CC1OC(=O)CC2C3C=CC4=CC(=O)C=CC4(C)C3CCC12C
5796,DANGEF,prism,ethanol,COC(=O)C1=C(O)C2=C(CCCC2)N(C2CC2)C1=O
5797,DANHUW,prism,hexane,COC1(ON=C(N1c1ccccc1)c1ccccc1)c1ccccc1
5800,DANJOS,prism,acetonitrile,Cc1cccc(n1)N1C(=O)OC2(CCCCC2)C1(C)O
5801,DANKEJ,plate,hexane,CN1CCOCCOCCOCCOc2cc(ccc12)N(=O)=O
5805,DANQEP02,prism,acetonitrile,CCCCOc1ccc(NC2=NC(=CS2)c2ccc(cc2)N(=O)=O)cc1
5807,DANRAM,prism,diethyl ether,CN1CC2COCC(C1)C2(O)c1ccccc1
5809,DANTRO01,block,toluene,O=C1c2ccccc2C(C2c3ccccc3C(=O)c3ccccc23)c2ccccc12
5812,DANXAS,prism,ethyl acetate,Clc1ccc(CNN2C(=O)NN=C2c2ccccc2)cc1
5814,DANYEY01,block,methanol,CC=CC(=O)N(Cc1ccccc1)c1c(C)cc(C)cc1I
5815,DANYOJ,block,ethanol,BrC1=NC2=NC=NN2C=C1
5816,DANYUP01,prism,methanol,COc1ccc(cc1)C(=O)C=Cc1cc(OC)c(OC)cc1OC
5817,DAPCED,block,hexane,CC(=O)C1=C(CCCC1)Nc1cccc2ccccc12
5820,DAPHEI,plate,pentane,O=C(OC(C1CC1)C1CC1)c1ccc(cc1)N(=O)=O
5822,DAPHUY,plate,methanol,O=C(OCC1CC1)c1ccc(cc1)N(=O)=O
5827,DAPJUA01,block,water,NC1=NN=NC2=C1C=NN2C1OC(CO)C(O)C1O
5840,DAQBIJ,block,dimethylsulfoxide,CCOC(=O)C1=C(N)OC23OC(=C(C#N)C12c1cccc2cccc3c12)c1ccccc1
5843,DAQCOQ,plate,methanol,NC(=O)C1=NC(=CN(C2OC(CO)C(O)C2O)C1=O)F
5847,DAQJAG,needle,ethanol,CCOC1=NC2=C(NC(C1)c1ccccc1)C(=O)N(C)C(=O)N2C
5853,DAQRAO,block,acetonitrile,CCN(CC)P(=S)(N(CC)CC)C1=P(C=P(C=C1c1ccccc1)(N(C)C)N(C)C)(N(C)C)N(C)C
5866,DARHUA,prism,toluene,OC(C#Cc1ccc2c(Cc3cc(ccc23)C#CC(O)(c2ccccc2)c2ccccc2)c1)(c1ccccc1)c1ccccc1
5873,DARJUC,needle,ethanol,CC(=O)Sc1ccc(cc1)C#Cc1ccc(C)cc1
5875,DARKAJ,needle,ethanol,CC(=O)Sc1ccc(cc1)C#Cc1ccc(F)cc1
5880,DARTAS,plate,dimethylsulfoxide,CCCSC1=C(SCCC)SC(S1)=C1Sc2cc(C#N)c(cc2S1)C#N
