,REFCODE,Habit,Solvent,SMILES
19065,KAJHUB,needle,acetone,CC(C)(C)NC(CC(=O)c1ccc(OCc2ccccc2)cc1)C(C)(Cl)Cl
19066,KAJLAK,needle,n-hexane,ClB1N2C=CC=CC2=C2C=CC=CN12
19067,KAJLEO,plate,toluene,c1ccc(cc1)B1N2C=CC=CC2=C2C=CC=CN12
19068,KAJLUD,prismatic,methanol,Cc1cccc(C)c1C(c1ccccc1)=C1C2C3CCC(C3)C2c2ccccc12
19069,KAJPEQ,prismatic,pyridine,CC(C)(C)OB12N3=C4N=C5c6ccccc6C(=N15)N=C1c5ccccc5C(=N21)N=C3c1ccccc41
19070,KAJROD01,plates,petroleum ether/dichloromethane,O=C(NCC#C)C12CC3CC(CC(C3)C1)C2
19071,KAKCEF,block,hexane/dichloromethane,CN(C)c1ccc(cc1)[Te](Br)(Br)c1ccc(cc1)N(C)C
19072,KAKCIJ,block,hexane/dichloromethane,CN(C)c1ccc(cc1)[Te](I)(I)c1ccc(cc1)N(C)C
19073,KAKCOP,block,hexane/dichloromethane,CN(C)c1ccc(cc1)[Te](Cl)(Cl)c1ccccc1
19074,KAKCUV,plate,hexane/dichloromethane,CCOc1ccc(cc1)[Te](Cl)(Cl)c1ccc(cc1)N(C)C
19075,KAKDEG,needle,methanol,OC1CCC(C(O)C1O)C1=CC(=O)NC1=O
19076,KAKFAE,prism,methylene chloride/hexane(7:3),CCC1C2=C(CC=C1C(=O)OC)N(C(=O)O2)c1cccc(C)c1
19077,KAKFEI,prism,acetonitrile/water(0.35:0.65),CC1CC23OC(=O)C(C2(O)OC(=O)C=C3C)C21OC=C(C)C2=O
19078,KAKGUB,plate,ethyl acetate,CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCCC1C#N
19079,KAKHIO,needle,n-heptane,CN1c2ccccc2C2=C1C(N(C=C2)C(=O)C12CCC(C)(COC1=O)C2(C)C)c1ccccc1
19080,KAKHOU,prismatic,pentane/dichloromethane,CC(C=C(C)C(O)CC(=O)C(C)(C)C)S(=O)(=O)c1ccc(cc1N(=O)=O)N(=O)=O
19081,KAKHUA,irregular,pentane/dichloromethane,CCC(=O)C(C)C(O)C(C)=CC(C)S(=O)(=O)c1ccc(cc1N(=O)=O)N(=O)=O
19082,KAKJIQ,parallelepiped,dichloromethane/hexanes,CCOC(=O)C(C(=O)NCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1
19083,KAKKAL,block,Sublimation,c1cc(cc(c1)c1nc(nc(n1)c1cccc(c1)c1cncnc1)c1cccc(c1)c1cncnc1)c1cncnc1
19084,KAKNEP,irregular,hexane,CCc1ccc(CC(O)c2ccc(cc2)N(=O)=O)nc1
19085,KAKPIW,prism,ethyl acetate,OC12C(Cl)C(=O)C3=C(N(CC=C)c4ccccc34)C1=Nc1ccccc21
19086,KAKPOB,prism,diethyl ether/n-hexane,Cc1ccc(cc1)S(=O)(=O)OC(Sc1ccccc1)=Cc1ccccc1
19087,KAKPUH,rod,ethanol,CC(=O)C1=C(O)C(=C(O)C(C)(Cc2ccccc2)C1=O)Cc1ccccc1
19088,KAKQAO,block,ethanol,O=C1SC2=C(SC3CCCCC3S2)S1
19089,KAKQOF02,block,chloroform/ hexane,CN(C)c1ccc(cc1)N=Cc1cc(Cl)ccc1O
